infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
abandonar,Indicativo,Presente,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandonado
abandonar,Indicativo,Futuro,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandonado
abandonar,Indicativo,Imperfecto,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandonado
abandonar,Indicativo,Pretérito,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandonado
abandonar,Indicativo,Condicional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandonado
abandonar,Indicativo,Presente perfecto,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandonado
abandonar,Indicativo,Futuro perfecto,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandonado
abandonar,Indicativo,Pluscuamperfecto,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandonado
abandonar,Indicativo,Pretérito anterior,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandonado
abandonar,Indicativo,Condicional perfecto,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandonado
abandonar,Subjuntivo,Presente,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandonado
abandonar,Subjuntivo,Imperfecto,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandonado
abandonar,Subjuntivo,Futuro,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandonado
abandonar,Subjuntivo,Presente perfecto,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandonado
abandonar,Subjuntivo,Futuro perfecto,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandonado
abandonar,Subjuntivo,Pluscuamperfecto,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandonado
abandonar,Imperativo Afirmativo,Presente,,abandona,abandonad,,abandone,abandonen,abandonando,abandonado
abandonar,Imperativo Negativo,Presente,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandonado
abordar,Indicativo,Presente,abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,abordado
abordar,Indicativo,Futuro,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,abordado
abordar,Indicativo,Imperfecto,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,abordado
abordar,Indicativo,Pretérito,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,abordado
abordar,Indicativo,Condicional,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,abordado
abordar,Indicativo,Presente perfecto,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,abordado
abordar,Indicativo,Futuro perfecto,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,abordado
abordar,Indicativo,Pluscuamperfecto,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,abordado
abordar,Indicativo,Pretérito anterior,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,abordado
abordar,Indicativo,Condicional perfecto,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,abordando,abordado
abordar,Subjuntivo,Presente,aborde,abordes,aborde,abordemos,abordéis,aborden,abordando,abordado
abordar,Subjuntivo,Imperfecto,abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordando,abordado
abordar,Subjuntivo,Futuro,abordare,abordares,abordare,abordáremos,abordareis,abordaren,abordando,abordado
abordar,Subjuntivo,Presente perfecto,haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,abordando,abordado
abordar,Subjuntivo,Futuro perfecto,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,abordando,abordado
abordar,Subjuntivo,Pluscuamperfecto,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,abordando,abordado
abordar,Imperativo Afirmativo,Presente,,aborda,abordad,,aborde,aborden,abordando,abordado
abordar,Imperativo Negativo,Presente,,no abordes,no abordéis,,no aborde,no aborden,abordando,abordado
abortar,Indicativo,Presente,aborto,abortas,aborta,abortamos,abortáis,abortan,abortando,abortado
abortar,Indicativo,Futuro,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortando,abortado
abortar,Indicativo,Imperfecto,abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,abortando,abortado
abortar,Indicativo,Pretérito,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortando,abortado
abortar,Indicativo,Condicional,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,abortando,abortado
abortar,Indicativo,Presente perfecto,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,abortando,abortado
abortar,Indicativo,Futuro perfecto,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,abortando,abortado
abortar,Indicativo,Pluscuamperfecto,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,abortando,abortado
abortar,Indicativo,Pretérito anterior,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,abortando,abortado
abortar,Indicativo,Condicional perfecto,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,abortando,abortado
abortar,Subjuntivo,Presente,aborte,abortes,aborte,abortemos,abortéis,aborten,abortando,abortado
abortar,Subjuntivo,Imperfecto,abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortando,abortado
abortar,Subjuntivo,Futuro,abortare,abortares,abortare,abortáremos,abortareis,abortaren,abortando,abortado
abortar,Subjuntivo,Presente perfecto,haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,abortando,abortado
abortar,Subjuntivo,Futuro perfecto,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,abortando,abortado
abortar,Subjuntivo,Pluscuamperfecto,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,abortando,abortado
abortar,Imperativo Afirmativo,Presente,,aborta,abortad,,aborte,aborten,abortando,abortado
abortar,Imperativo Negativo,Presente,,no abortes,no abortéis,,no aborte,no aborten,abortando,abortado
abrazar,Indicativo,Presente,abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazando,abrazado
abrazar,Indicativo,Futuro,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazando,abrazado
abrazar,Indicativo,Imperfecto,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazando,abrazado
abrazar,Indicativo,Pretérito,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazando,abrazado
abrazar,Indicativo,Condicional,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazando,abrazado
abrazar,Indicativo,Presente perfecto,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,abrazando,abrazado
abrazar,Indicativo,Futuro perfecto,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,abrazando,abrazado
abrazar,Indicativo,Pluscuamperfecto,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,abrazando,abrazado
abrazar,Indicativo,Pretérito anterior,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,abrazando,abrazado
abrazar,Indicativo,Condicional perfecto,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrazando,abrazado
abrazar,Subjuntivo,Presente,abrace,abraces,abrace,abracemos,abracéis,abracen,abrazando,abrazado
abrazar,Subjuntivo,Imperfecto,abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazando,abrazado
abrazar,Subjuntivo,Futuro,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,abrazando,abrazado
abrazar,Subjuntivo,Presente perfecto,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,abrazando,abrazado
abrazar,Subjuntivo,Futuro perfecto,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,abrazando,abrazado
abrazar,Subjuntivo,Pluscuamperfecto,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,abrazando,abrazado
abrazar,Imperativo Afirmativo,Presente,,abraza,abrazad,,abrace,abracen,abrazando,abrazado
abrazar,Imperativo Negativo,Presente,,no abraces,no abracéis,,no abrace,no abracen,abrazando,abrazado
abrir,Indicativo,Presente,abro,abres,abre,abrimos,abrís,abren,abriendo,abierto
abrir,Indicativo,Futuro,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriendo,abierto
abrir,Indicativo,Imperfecto,abría,abrías,abría,abríamos,abríais,abrían,abriendo,abierto
abrir,Indicativo,Pretérito,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriendo,abierto
abrir,Indicativo,Condicional,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abriendo,abierto
abrir,Indicativo,Presente perfecto,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,abriendo,abierto
abrir,Indicativo,Futuro perfecto,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,abriendo,abierto
abrir,Indicativo,Pluscuamperfecto,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,abriendo,abierto
abrir,Indicativo,Pretérito anterior,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,abriendo,abierto
abrir,Indicativo,Condicional perfecto,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abriendo,abierto
abrir,Subjuntivo,Presente,abra,abras,abra,abramos,abráis,abran,abriendo,abierto
abrir,Subjuntivo,Imperfecto,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriendo,abierto
abrir,Subjuntivo,Futuro,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abriendo,abierto
abrir,Subjuntivo,Presente perfecto,haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,abriendo,abierto
abrir,Subjuntivo,Futuro perfecto,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,abriendo,abierto
abrir,Subjuntivo,Pluscuamperfecto,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,abriendo,abierto
abrir,Imperativo Afirmativo,Presente,,abre,abrid,,abra,abran,abriendo,abierto
abrir,Imperativo Negativo,Presente,,no abras,no abráis,,no abra,no abran,abriendo,abierto
aburrir,Indicativo,Presente,aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriendo,aburrido
aburrir,Indicativo,Futuro,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburriendo,aburrido
aburrir,Indicativo,Imperfecto,aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburriendo,aburrido
aburrir,Indicativo,Pretérito,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriendo,aburrido
